id,value,languageId,frequencyRank
318,"actual, real",2,
319,actually,2,
320,exactly,2,
321,"letzte (r, s)",1,152
322,last,2,
323,"fragen, fragt, fragte, hat gefragt",1,153
324,to ask,2,
325,"der Herr, -en",1,154
326,Mr.,2,
327,"halten, hält, hielt, hat gehalten",1,155
328,"to stop, to hold",2,
329,"glauben, glaubt, glaubte, hat geglaubt",1,156
330,to believe,2,
331,"die Frage, -n",1,157
332,question,2,
333,"gelten, gilt, galt, hat gegolten",1,158
334,to be valid,2,
335,gerade,1,159
336,straight,2,
337,"just, just now, right now",2,
338,"folgen, folgt, folgte, ist gefolgt",1,160
339,to follow,2,
340,"sprechen, spricht, sprach, hat gesprochen",1,161
341,to speak,2,
342,"führen, führt, führte, hat geführt",1,162
343,to lead,2,
344,"bringen, bringt, brachte, hat gebracht",1,163
345,"to bring, to take",2,
346,"die Welt, -en",1,164
347,world,2,
348,gar,1,165
349,at all,2,
350,eigen,1,166
351,own,2,
352,genau,1,167
353,exact,2,
354,"mögen, mag, mochte, hat gemocht",1,168
355,to like,2,
356,spät,1,169
357,late,2,
358,later,2,
359,bereits,1,170
360,möglich,1,171
361,possible,2,
362,"as . . . as possible, if possible",2,
363,"das Prozent, -e",1,172
364,percent,2,
365,während,1,173
366,"during, while",2,
367,"while, whereas",2,
368,einige,1,174
369,"a few, some",2,
370,dafür,1,175
371,"for it, for that",2,
372,kurz,1,176
373,short,2,
374,richtig,1,177
375,"correct, right",2,
376,stark,1,178
377,strong,2,
378,"brauchen, braucht, brauchte, hat gebraucht",1,179
379,to need,2,
380,"die Hand, -̈e",1,180
381,hand,2,
382,etwa,1,181
383,"about, approximately",2,
384,"weitere (r, s)",1,182
385,"additional, further",2,
386,"das Ende, -n",1,183
387,end,2,
388,"schreiben, schreibt, schrieb, hat geschrieben",1,184
389,to write,2,
390,solch,1,185
391,such,2,
392,nie,1,186
393,never,2,
394,"der Fall, -̈e",1,187
395,"fall, case",2,
396,schön,1,188
397,"beautiful, pleasant, good",2,
398,wirklich,1,189
399,"real, actual",2,
400,"really, actually",2,
401,denen,1,190
402,"whom, that",2,
403,"nennen, nennt, nannte, hat genannt",1,191
404,"to name, to call",2,
405,warum,1,192
406,why,2,
407,"ziehen, zieht, zog, hat gezogen",1,193
408,"to pull, to move",2,
409,"das Wort, -̈er",1,194
410,word,2,
411,"darauf, drauf",1,195
412,"on it, to it",2,
413,"eben, ebend",1,196
414,"just, now",2,
415,"die Seite, -n",1,197
416,"side, page",2,
417,"das Teil, -e",1,198
418,part,2,
419,jung,1,199
420,young,2,
421,vier,1,200
422,four,2,
423,besser,1,201
424,better,2,
425,fast,1,202
426,almost,2,
427,schnell,1,203
428,fast,2,
429,"die Stadt, -̈e",1,204
430,"city, town",2,
431,"spielen, spielt, spielte, hat gespielt",1,205
432,to play,2,
433,zwar,1,206
434,"admittedly, to be precise",2,
435,"der Euro, -s",1,207
436,euro (unit of currency),2,
437,"die Arbeit, -en",1,208
438,work,2,
439,"Million, Mio.",1,209
440,million,2,
441,"das Problem, -e",1,210
442,problem,2,
443,"verstehen, versteht, verstand, hat verstanden",1,211
444,to understand,2,
445,"bekommen, bekommt, bekam, hat bekommen",1,212
446,"to get, to receive",2,
447,"meinen, meint, meinte, hat gemeint",1,213
448,"to think, to have an opinion",2,
449,davon,1,214
450,"from it, about it, thereof",2,
451,"fahren, fährt, fuhr, ist gefahren",1,215
452,"to drive, to ride, to go",2,
453,"kennen, kennt, kannte, hat gekannt",1,216
454,dich,1,217
455,"you, yourself",2,
456,"die Mutter, -̈",1,218
457,mother,2,
458,"die Woche, -n",1,219
459,week,2,
460,"der Weg, -e",1,220
461,"path, way",2,
462,weiter,1,221
463,further,2,
464,"das Auge, -n",1,222
465,eye,2,
466,oft,1,223
467,often,2,
468,Leute,1,224
469,people,2,
470,allerdings,1,225
471,"though, indeed, certainly",2,
472,sogar,1,226
473,"even, in fact",2,
474,jedoch,1,227
475,however,2,
476,"setzen, setzt, setzte, hat gesetzt",1,228
477,"to set, to place, to put",2,
478,to sit down,2,
479,deshalb,1,229
480,therefore,2,
481,weit,1,230
482,"widely, far",2,
483,"sitzen, sitzt, saß, hat gesessen",1,231
484,to sit,2,
485,"der Vater, -̈",1,232
486,father,2,
487,dein,1,233
488,"arbeiten, arbeitet, arbeitete, hat gearbeitet",1,234
489,to work,2,
490,"das Geld, -er",1,235
491,money,2,
492,"das Unternehmen, -",1,236
493,"enterprise, company",2,
494,"nächste (r, s)",1,237
495,next,2,
496,"erklären, erklärt, erklärte, hat erklärt",1,238
497,to explain,2,
498,klar,1,239
499,clear,2,
500,"der Doktor, -en (Dr.)",1,240
501,doctor,2,
502,"das Paar, -e",1,241
503,"pair, couple",2,
504,a few,2,
505,"das Recht, -e",1,242
506,"right, law",2,
507,all right,2,
508,"rather, quite",2,
509,wegen,1,243
510,because of,2,
511,dir,1,244
512,"das Wasser, -",1,245
513,water,2,
514,"bestehen, besteht, bestand, hat bestanden",1,246
515,"to exist, to insist, to pass (an exam)",2,
516,"versuchen, versucht, versuchte, hat versucht",1,247
517,"to try, to attempt",2,
518,"der Punkt, -e",1,248
519,"dot, point, period",2,
520,"der Grund, -̈e",1,249
521,"reason, basis",2,
522,"der Kopf, -̈e",1,250
523,head,2,
524,"beginnen, beginnt, begann, hat begonnen",1,251
525,to begin,2,
526,"laufen, läuft, lief, ist gelaufen",1,252
527,to run,2,
528,"das Bild, -er",1,253
529,picture,2,
530,verschieden,1,254
531,"different, diverse",2,
532,"der Name, -n",1,255
533,name,2,
534,"die Aufgabe, -n",1,256
535,"task, assignment, job",2,
536,schwer,1,257
537,"difficult, heavy",2,
538,"entsprechen, entspricht, entsprach, hat entsprochen",1,258
539,to correspond,2,
540,"treffen, trifft, traf, hat getroffen",1,259
541,to meet,2,
542,"die Art, -en",1,260
543,"type, kind",2,
544,wohl,1,261
545,well,2,
546,probably,2,
547,"die Geschichte, -n",1,262
548,"history, story",2,
549,"erzählen, erzählt, erzählte, hat erzählt",1,263
550,to tell,2,
551,"entstehen, entsteht, entstand, ist entstanden",1,264
552,"to originate, to develop",2,
553,sicher,1,265
554,"safe, secure, certain",2,
555,neben,1,266
556,"next to, beside",2,
557,"allein, alleine",1,267
558,alone,2,
559,"die Abbildung, -en (Abb.)",1,268
560,illustration,2,
561,hinter,1,269
562,"behind, in back of",2,
563,besonders,1,270
564,particularly,2,
565,"tragen, trägt, trug, hat getragen",1,271
566,"to carry, to wear",2,
567,kaum,1,272
568,hardly,2,
569,"der Freund, -e",1,273
570,friend,2,
571,fünf,1,274
572,five,2,
573,"scheinen, scheint, schien, hat geschienen",1,275
574,"to shine, to seem, to appear",2,
575,"die Stunde, -n",1,276
576,hour,2,
577,"aussehen, sieht aus, sah aus, hat ausgesehen",1,277
578,"to appear, to look",2,
579,"gern, gerne",1,278
580,(with a verb) love to,2,
581,überhaupt,1,279
582,"at all, generally",2,
583,bestimmt,1,280
584,"special, certain",2,
585,sowie,1,281
586,"as well as, as soon as, plus",2,
587,"der Professor, -en",1,282
588,professor,2,
589,"darüber, drüber",1,283
590,"above it, about it",2,
591,deren,1,284
592,whose,2,
593,"schaffen, schafft, schuf, hat geschaffen",1,285
594,"to manage, to create",2,
595,damals,1,286
596,"erhalten, erhält, erhielt, hat erhalten",1,287
597,to receive,2,
598,"lernen, lernt, lernte, hat gelernt",1,288
599,to learn,2,
600,frei,1,289
601,free,2,
602,"der Wert, -e",1,290
603,value,2,
604,worth,2,
605,"beziehungsweise, bzw.",1,291
606,"or, respectively",2,
607,"daran, dran",1,292
608,on it,2,
609,"suchen, sucht, suchte, hat gesucht",1,293
610,"to search, to look for",2,
611,Europa,1,294
612,Europe,2,
613,gemeinsam,1,295
614,"common, mutual",2,
615,rund,1,296
616,round,2,
617,approximately,2,
618,"die Zahl, -en",1,297
619,number,2,
620,"das Thema, -en",1,298
621,"subject, topic, theme",2,
622,"handeln, handelt, handelte, hat gehandelt",1,299
623,"to deal, to trade",2,
624,"das Buch, -̈er",1,300
625,book,2,
626,"bisschen, bissel",1,301
627,a little,2,
628,deutlich,1,302
629,anders,1,303
630,"different, differently",2,
631,politisch,1,304
632,political,2,
633,"lesen, liest, las, hat gelesen",1,305
634,to read,2,
635,"der Blick, -e",1,306
636,"look, view, glance",2,
637,"die Form, -en",1,307
638,"form, shape",2,
639,einzeln,1,308
640,"individual, single, separately",2,
641,"erreichen, erreicht, erreichte, hat erreicht",1,309
642,"to achieve, to reach",2,
643,"vergehen, vergeht, verging, hat vergangen",1,310
644,to pass (time),2,
645,leicht,1,311
646,"light, easy",2,
647,je,1,312
648,"ever, each",2,
649,the more,2,
650,"verlieren, verliert, verlor, hat verloren",1,313
651,to lose,2,
652,"beste (r, s)",1,314
653,best,2,
654,"bilden, bildet, bildete, hat gebildet",1,315
655,"to form, to educate",2,
656,"der Monat, -e",1,316
657,month,2,
658,"die Lösung, -en",1,317
659,solution,2,
660,"die Sache, -n",1,318
661,thing,2,
662,bekannt,1,319
663,"well-known, famous",2,
664,"das Ziel, -e",1,320
665,"destination, goal",2,
666,"steigen, steigt, stieg, ist gestiegen",1,321
667,"to climb, to increase",2,
668,eher,1,322
669,"sooner, earlier, more likely, rather",2,
670,"essen, isst, aß, hat gegessen",1,323
671,to eat,2,
672,"die Minute, -n",1,324
673,minute,2,
674,"die Nacht, -̈e",1,325
675,night,2,
676,"at night, nights",2,
677,"der Platz, -̈e",1,326
678,"place, room, square",2,
679,schlecht,1,327
680,bad,2,
681,"das Spiel, -e",1,328
682,"game, match",2,
683,"die Familie, -n",1,329
684,family,2,
685,jemand,1,330
686,"someone, somebody",2,
687,dessen,1,331
688,"fallen, fällt, fiel, ist gefallen",1,332
689,to fall,2,
690,zehn,1,333
691,ten,2,
692,"der Preis, -e",1,334
693,"price, prize",2,
694,europäisch,1,335
695,European,2,
696,sonst,1,336
697,otherwise,2,
698,"der Staat, -en",1,337
699,state,2,
700,"helfen, hilft, half, hat geholfen",1,338
701,to help,2,
702,"der Bereich, -e",1,339
703,"area, region",2,
704,tatsächlich,1,340
705,"der Ort, -e",1,341
706,"place, town, location",2,
707,"der Abend, -e",1,342
708,evening,2,
709,in the evening,2,
710,einzig,1,343
711,"only, single",2,
712,"die Stelle, -n",1,344
713,place,2,
714,unterschiedlich,1,345
715,different,2,
716,"das Gesicht, -er",1,346
717,face,2,
718,"die Entwicklung, -en",1,347
719,development,2,
720,"die Uhr, -en",1,348
721,"clock, watch, o’clock",2,
722,mehrere,1,349
723,"several, multiple, various",2,
724,"schließen, schließt, schloss, hat geschlossen",1,350
725,to close,2,
726,schließlich,1,351
727,"finally, eventually",2,
728,"legen, legt, legte, hat gelegt",1,352
729,"to lay, to put",2,
730,direkt,1,353
731,"direct, straight",2,
732,daher,1,354
733,"from, there, therefore",2,
734,offen,1,355
735,open,2,
736,"erkennen, erkennt, erkannte, hat erkannt",1,356
737,"to recognize, to admit",2,
738,"die Person, -en",1,357
739,person,2,
740,"der Moment, -e",1,358
741,moment,2,
742,"die Schule, -n",1,359
743,school,2,
744,"darin, drin, drinnen",1,360
745,"in it, in there, inside",2,
746,"das Auto, -s",1,361
747,"automobile, car",2,
748,niemand,1,362
749,"no one, nobody",2,
750,"die Gesellschaft, -en",1,363
751,"society, company",2,
752,"warten, wartet, wartete, hat gewartet",1,364
753,to wait,2,
754,"vorstellen, stellt vor, stellte vor, hat vorgestellt",1,365
755,"to introduce, to imagine",2,
756,früh,1,366
757,early,2,
758,"treten, tritt, trat, hat getreten",1,367
759,to step,2,
760,"reden, redet, redete, hat geredet",1,368
761,to talk,2,
762,"die Gruppe, -n",1,369
763,group,2,
764,"das Ding, -e",1,370
765,na,1,371
766,"gewinnen, gewinnt, gewann, hat gewonnen",1,372
767,"to win, to gain",2,
768,zunächst,1,373
769,"first, at first, for now",2,
770,so that,2,
771,"die Tür, -en",1,375
772,door,2,
773,"der Schritt, -e",1,376
774,step,2,
775,"entwickeln, entwickelt, entwickelte, hat entwickelt",1,377
776,to develop,2,
777,meiste,1,378
778,most,2,
779,"die Möglichkeit, -en",1,379
780,"possibility, chance",2,
781,"der Sinn, -e",1,380
782,"sense, meaning",2,
783,"passieren, passiert, passierte, hat passiert",1,381
784,"to take place, to happen",2,
785,manchmal,1,382
786,sometimes,2,
787,"der Vergleich, -e",1,383
788,comparison,2,
789,"das System, -e",1,384
790,system,2,
791,"die Rolle, -n",1,385
792,"role, roll",2,
793,"das Ergebnis, -se",1,386
794,result,2,
795,"vergleichen, vergleicht, verglich, hat verglichen",1,387
796,to compare,2,
797,voll,1,388
798,full,2,
799,"erwarten, erwartet, erwartete, hat erwartet",1,389
800,to expect,2,
801,obwohl,1,390
802,although,2,
803,"die Straße, -n",1,391
804,street,2,
805,"die Angst, -Äe",1,392
806,"fear, anxiety",2,
807,allgemein,1,393
808,general,2,
809,"fühlen, fühlt, fühlte, hat gefühlt",1,394
810,to feel,2,
811,"jene (r, s)",1,395
812,"erinnern, erinnert, erinnerte, hat erinnert",1,396
813,to remind,2,
814,oh,1,397
815,"oh, aw",2,
816,"bedeuten, bedeutet, bedeutete, hat bedeutet",1,398
817,to mean,2,
818,"die Stimme, -n",1,399
819,"voice, vote",2,
820,"die Reaktion, -en",1,400
821,reaction,2,
822,"wirken, wirkt, wirkte, hat gewirkt",1,401
823,"to have an effect, to take effect, to work",2,
824,"darstellen, stellt dar, stellte dar, hat dargestellt",1,402
825,"to depict, to portray, to show",2,
826,"der Raum, -̈e",1,403
827,"room, space",2,
828,Eltern,1,404
829,parents,2,
830,"bezeichnen, bezeichnet, bezeichnete, hat bezeichnet",1,405
831,"to call, to name",2,
832,"die Funktion, -en",1,406
833,function,2,
834,häufig,1,407
835,frequent,2,
836,"erscheinen, erscheint, erschien, ist erschienen",1,408
837,to appear,2,
838,USA (Vereinigte Staaten von Amerika),1,409
839,"USA, United States of America",2,
840,"der Flüchtling, -e",1,410
841,refugee,2,
842,früher,1,411
843,in former times,2,
844,pro,1,412
845,per,2,
846,pro,2,
847,"ergeben, ergibt, ergab, hat ergeben",1,413
848,"to result in, to produce",2,
849,"entscheiden, entscheidet, entschied, hat entschieden",1,414
850,to decide,2,
851,"die Universität, -en (Uni)",1,415
852,university,2,
853,"betreffen, betrifft, betraf, hat betroffen",1,416
854,"to affect, to concern",2,
855,oben,1,417
856,"above, up there",2,
857,"die Richtung, -en",1,418
858,direction,2,
859,"bestimmen, bestimmt, bestimmte, hat bestimmt",1,419
860,"to decide, to determine",2,
861,"fehlen, fehlt, fehlte, hat gefehlt",1,420
862,"to lack, to be missing, to be absent",2,
863,"die Sprache, -n",1,421
864,language,2,
865,"das Produkt, -e",1,422
866,product,2,
867,"die Situation, -en",1,423
868,situation,2,
869,außerdem,1,424
870,"besides, in addition",2,
871,nämlich,1,425
872,"you see, namely",2,
873,international,1,426
874,international,2,
875,"der Anfang, -̈e",1,427
876,beginning,2,
877,sechs,1,428
878,six,2,
879,"nutzen, nutzt, nutzte, hat genutzt",1,429
880,to use,2,
881,sozial,1,430
882,social,2,
883,"die Folge, -n",1,431
884,"result, consequences",2,
885,"der Satz, -̈e",1,432
886,sentence,2,
887,"manche (r, s)",1,433
888,"some, many a",2,
889,"die Verbindung, -en",1,434
890,"connection, link",2,
891,"beschreiben, beschreibt, beschrieb, hat beschrieben",1,435
892,to describe,2,
893,"das Licht, -er",1,436
894,light,2,
895,ähnlich,1,437
896,similar,2,
897,"die Regel, -n",1,438
898,rule,2,
899,gegenüber,1,439
900,opposite,2,
901,"der Kollege, -n",1,440
902,colleague,2,
903,bisher,1,441
904,"until now, up to now, yet",2,
905,tief,1,442
906,deep,2,
907,halb,1,443
908,half,2,
909,"lachen, lacht, lachte, hat gelacht",1,444
910,to laugh,2,
911,ebenfalls,1,445
912,"likewise, also, as well",2,
913,sofort,1,446
914,immediately,2,
915,"die Grenze, -n",1,447
916,"border, frontier",2,
917,"ändern, ändert, änderte, hat geändert",1,448
918,to change,2,
919,"die Entscheidung, -en",1,449
920,decision,2,
921,"verlassen, verlässt, verließ, hat verlassen",1,450
922,to leave,2,
923,"die Idee, -n",1,451
924,idea,2,
925,"verbinden, verbindet, verband, hat verbunden",1,452
926,"to connect, to link, to unite",2,
927,"Milliarde, Mrd.",1,453
928,billion,2,
929,endlich,1,454
930,"finally, at last",2,
931,"die Energie, -n",1,455
932,energy,2,
933,plötzlich,1,456
934,suddenly,2,
935,danach,1,457
936,"after it, afterwards",2,
937,"die Kraft, -̈e",1,458
938,"strength, power",2,
939,lieber,1,459
940,rather,2,
941,"gehören, gehört, gehörte, hat gehört",1,460
942,to belong,2,
943,"einsetzen, setzt ein, setzte ein, hat eingesetzt",1,461
944,"to put in, to insert",2,
945,"das Gefühl, -e",1,462
946,feeling,2,
947,trotzdem,1,463
948,nevertheless,2,
949,"befinden (sich), befindet, befand, hat befunden",1,464
950,"die Information, -en",1,465
951,information,2,
952,dadurch,1,466
953,"through it, as a result, as a consequence",2,
954,dagegen,1,467
955,"against it, on the other hand",2,
956,"die Weise, -n",1,468
957,"way, manner",2,
958,"die Zukunft, -̈e",1,469
959,future,2,
960,"wachsen, wächst, wuchs, ist gewachsen",1,470
961,to grow,2,
962,bitte,1,471
963,please,2,
964,weiß,1,472
965,white,2,
966,"der Text, -e",1,473
967,text,2,
968,schwarz,1,474
969,black,2,
970,"sterben, stirbt, starb, ist gestorben",1,475
971,to die,2,
972,"der Markt, -̈e",1,476
973,market,2,
974,rot,1,477
975,red,2,
976,halt,1,478
977,"just, simply",2,
978,"Meter, m",1,479
979,meter,2,
980,"nahe, nah",1,480
981,"near(by), close",2,
982,"near, close to",2,
983,"die Hilfe, -n",1,481
984,help,2,
985,"das Kapitel, -",1,482
986,chapter,2,
987,"ausgehen, geht aus, ging aus, ist ausgegangen",1,483
988,"to go out, to assume",2,
989,"die Bedeutung, -en",1,484
990,"meaning, significance",2,
991,"betrachten, betrachtet, betrachtete, hat betrachtet",1,485
992,"to look at, to consider",2,
993,"die Chemie, -n",1,486
994,chemistry,2,
995,"die Luft, -̈e",1,487
996,air,2,
997,"der Körper, -",1,488
998,body,2,
999,"die Struktur, -en",1,489
1000,structure,2,
1001,"stimmen, stimmt, stimmte, hat gestimmt",1,490
1002,"to be correct, to vote, to tune",2,
1003,"bitten, bittet, bat, hat gebeten",1,491
1004,"to request, to ask",2,
1005,"das Jahrhundert, -e",1,492
1006,century,2,
1007,wahrscheinlich,1,493
1008,"likely, probable",2,
1009,"probably, likely",2,
1010,öffentlich,1,494
1011,public,2,
1012,euch,1,495
1013,"you, yourselves",2,
1014,insgesamt,1,496
1015,"in all, altogether, in total",2,
1016,"anfangen, fängt an, fing an, hat angefangen",1,497
1017,"to begin, to start",2,
1018,genug,1,498
1019,enough,2,
1020,das Deutsche,1,499
1021,"verändern, verändert, veränderte, hat verändert",1,500
1022,"die Wohnung, -en",1,501
1023,"apartment, flat",2,
1024,"gelingen, gelingt, gelang, ist gelungen",1,502
1025,to succeed,2,
1026,bald,1,503
1027,soon,2,
1028,gering,1,504
1029,"low, small",2,
1030,"der Film, -e",1,505
1031,"film, movie",2,
1032,"kaufen, kauft, kaufte, hat gekauft",1,506
1033,to buy,2,
1034,"ansehen, sieht an, sah an, hat angesehen",1,507
1035,"to look at, to watch",2,
1036,"öffnen, öffnet, öffnete, hat geöffnet",1,508
1037,to open,2,
1038,"die Musik, -en",1,509
1039,music,2,
1040,"schauen, schaut, schaute, hat geschaut",1,510
1041,to look,2,
1042,"das Stück, -e",1,511
1043,piece,2,
1044,"besondere (r, s)",1,512
1045,special,2,
1046,tot,1,513
1047,dead,2,
1048,"der Gott, -̈er",1,514
1049,God,2,
1050,völlig,1,515
1051,"completely, absolutely",2,
1052,positiv,1,516
1053,positive,2,
1054,"das Gespräch, -e",1,517
1055,conversation,2,
1056,darum,1,518
1057,"around it, therefore",2,
1058,"der Kunde, -n",1,519
1059,"customer, client",2,
1060,"die Menge, -n",1,520
1061,"quantity, amount",2,
1062,"die Regierung, -en",1,521
1063,"rule, government",2,
1064,"die Antwort, -en",1,522
1065,"answer, reply",2,
1066,"annehmen, nimmt an, nahm an, hat angenommen",1,523
1067,"to accept, to assume",2,
1068,falsch,1,524
1069,"false, wrong",2,
1070,"der Zusammenhang, -̈e",1,525
1071,"connection, context",2,
1072,langsam,1,526
1073,slow,2,
1074,"der Arm, -e",1,527
1075,arm,2,
1076,nachdem,1,528
1077,after,2,
1078,"der Tisch, -e",1,529
1079,table,2,
1080,"rufen, ruft, rief, hat gerufen",1,530
1081,to call,2,
1082,"bieten, bietet, bot, hat geboten",1,531
1083,to offer,2,
1084,"das Herz, -en",1,532
1085,heart,2,
1086,zusammen,1,533
1087,together,2,
1088,inzwischen,1,534
1089,in the meantime,2,
1090,ebenso,1,535
1091,"just as, as much as, as well",2,
